id;new_poste;Y1A_genre;Outil;Frequence
79;Data Scientist;Une femme;datastudio;Jamais
79;Data Scientist;Une femme;matlab;Jamais
81;Data Engineer;Un homme;python;Régulièrement
81;Data Engineer;Un homme;r;Jamais
81;Data Engineer;Un homme;sas;Jamais
81;Data Engineer;Un homme;powerBI;Jamais
81;Data Engineer;Un homme;tableau;Régulièrement
81;Data Engineer;Un homme;qlik;Jamais
81;Data Engineer;Un homme;excel;Régulièrement
81;Data Engineer;Un homme;sql;Régulièrement
81;Data Engineer;Un homme;spark;Jamais
81;Data Engineer;Un homme;spss;Jamais
81;Data Engineer;Un homme;c_java;Jamais
81;Data Engineer;Un homme;datastudio;Jamais
81;Data Engineer;Un homme;matlab;Jamais
82;Data Engineer;Un homme;python;Jamais
82;Data Engineer;Un homme;r;Jamais
82;Data Engineer;Un homme;sas;Jamais
82;Data Engineer;Un homme;powerBI;Occasionnellement
82;Data Engineer;Un homme;tableau;Jamais
82;Data Engineer;Un homme;qlik;Jamais
82;Data Engineer;Un homme;excel;Occasionnellement
82;Data Engineer;Un homme;sql;Régulièrement
82;Data Engineer;Un homme;spark;Jamais
82;Data Engineer;Un homme;spss;Jamais
82;Data Engineer;Un homme;c_java;Jamais
82;Data Engineer;Un homme;datastudio;Jamais
82;Data Engineer;Un homme;matlab;Jamais
83;Data Analyst;Une femme;python;Régulièrement
83;Data Analyst;Une femme;r;Jamais
83;Data Analyst;Une femme;sas;Jamais
83;Data Analyst;Une femme;powerBI;Jamais
