id;new_poste;Y1A_genre;A4_secteur;A5_teleravail;A6_experience
372;Data Scientist;Un homme;Marketing;Hybride avec en moyenne un ou deux jours de télétravail / semaine;3
373;Data Analyst;NA;Autre;Hybride avec en moyenne un ou deux jours de télétravail / semaine;4
374;Data Analyst;NA;NA;NA;NA
375;Data Scientist;Une femme;Prestation de services informatiques / statistiques;Hybride avec en moyenne trois ou quatre jours de télétravail / semaine;5
376;Data Scientist;Un homme;Santé;Distanciel complet (pas de travail sur site);9
377;Data Analyst;NA;Autre;Hybride avec en moyenne un ou deux jours de télétravail / semaine;4
378;Data Analyst;Une femme;Banques / assurances / finances;Hybride avec en moyenne un ou deux jours de télétravail / semaine;3
379;Data Analyst;Une femme;Autre;Hybride avec en moyenne un ou deux jours de télétravail / semaine;4
380;Data Engineer;Une femme;Prestation de services informatiques / statistiques;Hybride avec en moyenne trois ou quatre jours de télétravail / semaine;2
381;Data Analyst;NA;Administration;Hybride avec en moyenne trois ou quatre jours de télétravail / semaine;11
382;Data Engineer;Une femme;Prestation de services informatiques / statistiques;Hybride avec en moyenne trois ou quatre jours de télétravail / semaine;7
383;Data Analyst;NA;Marketing;Hybride avec en moyenne un ou deux jours de télétravail / semaine;3
384;Data Analyst;NA;Prestation de services informatiques / statistiques;Hybride avec en moyenne trois ou quatre jours de télétravail / semaine;2
385;Data Analyst;Un homme;Numérique / Web;Hybride avec en moyenne un ou deux jours de télétravail / semaine;1
386;Data Scientist;Un homme;Autre;Hybride avec en moyenne un ou deux jours de télétravail / semaine;1
390;Data Analyst;Un homme;Autre;Hybride avec en moyenne trois ou quatre jours de télétravail / semaine;11
391;Data Scientist;Un homme;Santé;Hybride avec en moyenne trois ou quatre jours de télétravail / semaine;10
392;Data Analyst;Une femme;Autre;Distanciel complet (pas de travail sur site);25
393;Data Analyst;Un homme;Industrie;Hybride avec en moyenne un ou deux jours de télétravail / semaine;5
398;Data Analyst;Une femme;Autre;Hybride avec en moyenne un ou deux jours de télétravail / semaine;2
400;Data Scientist;NA;Industrie;Hybride avec en moyenne un ou deux jours de télétravail / semaine;3
401;Data Analyst;Une femme;Banques / assurances / finances;Hybride avec en moyenne un ou deux jours de télétravail / semaine;4
402;Data Engineer;Une femme;Administration;Hybride avec en moyenne un ou deux jours de télétravail / semaine;20
403;Data Scientist;Un homme;Administration;Hybride avec en moyenne un ou deux jours de télétravail / semaine;5
406;Data Analyst;NA;Prestation de services informatiques / statistiques;Hybride avec en moyenne un ou deux jours de télétravail / semaine;2
407;Data Analyst;Un homme;Banques / assurances / finances;Hybride avec en moyenne trois ou quatre jours de télétravail / semaine;3
409;Data Analyst;Un homme;Marketing;Distanciel complet (pas de travail sur site);1
410;Data Analyst;Une femme;Autre;Présentiel complet (pas ou quasiment pas de travail à distance);0
413;Data Analyst;Un homme;Prestation de services informatiques / statistiques;Distanciel complet (pas de travail sur site);12
419;Data Analyst;Un homme;Enseignement / recherche;Présentiel complet (pas ou quasiment pas de travail à distance);10
422;Data Scientist;NA;Industrie;Hybride avec en moyenne un ou deux jours de télétravail / semaine;5
424;Data Analyst;Un homme;Prestation de services informatiques / statistiques;Présentiel complet (pas ou quasiment pas de travail à distance);1
425;Data Analyst;Un homme;Banques / assurances / finances;Hybride avec en moyenne un ou deux jours de télétravail / semaine;1
427;Data Scientist;Une femme;Santé;Distanciel complet (pas de travail sur site);2
429;Data Analyst;Un homme;Autre;Distanciel complet (pas de travail sur site);1
432;Data Scientist;Une femme;Autre;Présentiel complet (pas ou quasiment pas de travail à distance);2
433;Data Engineer;NA;Autre;Hybride avec en moyenne un ou deux jours de télétravail / semaine;2
434;Data Analyst;Un homme;Banques / assurances / finances;Hybride avec en moyenne un ou deux jours de télétravail / semaine;7
435;Data Scientist;Un homme;Transport;Hybride avec en moyenne un ou deux jours de télétravail / semaine;1
438;Data Scientist;Un homme;Banques / assurances / finances;Hybride avec en moyenne trois ou quatre jours de télétravail / semaine;14
440;Data Engineer;NA;Prestation de services informatiques / statistiques;Hybride avec en moyenne un ou deux jours de télétravail / semaine;4
441;Data Scientist;Un homme;Administration;Hybride avec en moyenne un ou deux jours de télétravail / semaine;20
444;Data Scientist;NA;Industrie;Hybride avec en moyenne un ou deux jours de télétravail / semaine;2
445;Data Scientist;Un homme;Banques / assurances / finances;Hybride avec en moyenne un ou deux jours de télétravail / semaine;4
446;Data Analyst;Un homme;Banques / assurances / finances;Hybride avec en moyenne un ou deux jours de télétravail / semaine;10
449;Data Analyst;Une femme;Prestation de services informatiques / statistiques;Hybride avec en moyenne un ou deux jours de télétravail / semaine;8
450;Data Analyst;Une femme;Prestation de services informatiques / statistiques;Hybride avec en moyenne un ou deux jours de télétravail / semaine;3
451;Data Analyst;NA;Transport;Hybride avec en moyenne trois ou quatre jours de télétravail / semaine;4
458;Data Scientist;Un homme;Prestation de services informatiques / statistiques;Hybride avec en moyenne trois ou quatre jours de télétravail / semaine;2
459;Data Scientist;NA;Banques / assurances / finances;Hybride avec en moyenne un ou deux jours de télétravail / semaine;17
460;Data Scientist;Une femme;Banques / assurances / finances;Hybride avec en moyenne un ou deux jours de télétravail / semaine;18
461;Data Scientist;Un homme;Autre;Présentiel complet (pas ou quasiment pas de travail à distance);0
463;Data Analyst;NA;Autre;Hybride avec en moyenne un ou deux jours de télétravail / semaine;2
464;Data Analyst;Un homme;Autre;Hybride avec en moyenne un ou deux jours de télétravail / semaine;2
465;Data Scientist;Un homme;Autre;Hybride avec en moyenne trois ou quatre jours de télétravail / semaine;8
467;Data Analyst;Une femme;Marketing;Présentiel complet (pas ou quasiment pas de travail à distance);3
469;Data Engineer;Un homme;Autre;Hybride avec en moyenne trois ou quatre jours de télétravail / semaine;2
